 Time: 1421.09947, num_raw: 24000, num_filted: 24000
 Time: 1421.19946, num_raw: 24000, num_filted: 24000
 Time: 1421.29931, num_raw: 24000, num_filted: 24000
 Time: 1421.39999, num_raw: 24000, num_filted: 24000
 Time: 1421.49989, num_raw: 24000, num_filted: 24000
 Time: 1421.59983, num_raw: 24000, num_filted: 24000
 Time: 1421.69984, num_raw: 24000, num_filted: 24000
 Time: 1421.79972, num_raw: 24000, num_filted: 24000
 Time: 1421.89959, num_raw: 24000, num_filted: 24000
 Time: 1421.99944, num_raw: 24000, num_filted: 24000
 Time: 1422.09934, num_raw: 24000, num_filted: 24000
 Time: 1422.19964, num_raw: 24000, num_filted: 24000
 Time: 1422.29958, num_raw: 24000, num_filted: 24000
 Time: 1422.39948, num_raw: 24000, num_filted: 24000
 Time: 1422.49946, num_raw: 24000, num_filted: 24000
 Time: 1422.59932, num_raw: 24000, num_filted: 24000
 Time: 1422.69966, num_raw: 24000, num_filted: 24000
 Time: 1422.79958, num_raw: 24000, num_filted: 24000
 Time: 1422.89944, num_raw: 24000, num_filted: 24000
 Time: 1422.99968, num_raw: 24000, num_filted: 24000
 Time: 1423.09966, num_raw: 24000, num_filted: 24000
 Time: 1423.19957, num_raw: 24000, num_filted: 24000
 Time: 1423.29947, num_raw: 24000, num_filted: 24000
 Time: 1423.39937, num_raw: 24000, num_filted: 24000
 Time: 1423.49966, num_raw: 24000, num_filted: 24000
 Time: 1423.59953, num_raw: 24000, num_filted: 24000
 Time: 1423.69940, num_raw: 24000, num_filted: 24000
 Time: 1423.79933, num_raw: 24000, num_filted: 24000
 Time: 1423.89966, num_raw: 24000, num_filted: 24000
 Time: 1423.99956, num_raw: 24000, num_filted: 24000
 Time: 1424.09942, num_raw: 24000, num_filted: 24000
 Time: 1424.19931, num_raw: 24000, num_filted: 24000
 Time: 1424.29961, num_raw: 24000, num_filted: 24000
 Time: 1424.39953, num_raw: 24000, num_filted: 24000
 Time: 1424.49942, num_raw: 24000, num_filted: 24000
 Time: 1424.59938, num_raw: 24000, num_filted: 24000
 Time: 1424.69965, num_raw: 24000, num_filted: 24000
 Time: 1424.79949, num_raw: 24000, num_filted: 24000
 Time: 1424.89938, num_raw: 24000, num_filted: 24000
 Time: 1424.99966, num_raw: 24000, num_filted: 24000
 Time: 1425.09964, num_raw: 24000, num_filted: 24000
 Time: 1425.19956, num_raw: 24000, num_filted: 24000
 Time: 1425.29945, num_raw: 24000, num_filted: 24000
 Time: 1425.39933, num_raw: 24000, num_filted: 24000
 Time: 1425.49962, num_raw: 24000, num_filted: 24000
 Time: 1425.59959, num_raw: 24000, num_filted: 24000
 Time: 1425.69949, num_raw: 24000, num_filted: 24000
